name	chance_of_playing_next_round	chance_of_playing_this_round	news
Anthony Knockaert	0	0	Season-long loan to Huddersfield Town
Terence Kongolo	0	0	Season-long loan to Rapid Vienna
Kevin Mbabu	0	0	Season-long loan to Augsburg
Aleksandar Mitrović	0	0	Permanent transfer to Al-Hilal
Carlos Vinícius Alves Morais	0	0	Season-long loan to Galatasaray
Jay Stansfield	0	0	Season-long loan to Birmingham City
Luke Harris	0	0	Moved to Exeter City on loan until the end of the season
Alisson Ramses Becker	50	50	Lack of match fitness - 50% chance of playing
Fabio Henrique Tavares	0	0	Permanent Transfer to Al-Ittihad
Jordan Henderson	0	0	Permanent transfer to Al-Ettifaq
Joel Matip	0	0	Knee injury - Expected back 19 May
Nathaniel Phillips	0	0	Loaned to Celtic - expected back January
Thiago Alcántara do Nascimento	0	0	Muscle injury - Unknown return date
Sepp van den Berg	0	0	Season long loan to Mainz 05
Ben Doak	0	0	Knee injury - Unknown return date
Luke Chambers	0	0	Has Joined Wigan Athletic on loan until the end of the season
Marcelo de Araújo Pitaluga Filho	0	0	On loan to St Patrick’s Athletic until the end of the season
Owen Beck	0	0	On loan to Dundee until the end of the season
Albert Sambi Lokonga	0	0	Hamstring injury - Expected back 20 Apr
Marvelous Nakamba	0	0	Knee injury - Expected back 19 May
Elijah Adebayo	0	0	Hamstring injury - Expected back 27 Apr
Mads Juel Andersen	0	0	Calf injury - Unknown return date
Amari'i Bell	0	0	Hamstring injury - Unknown return date
Allan Campbell	0	0	Season-long loan to Millwall
Luke Freeman	0	0	Released
Matt Macey	0	0	Released from contract
John McAtee	0	0	Season-long loan to Barnsley
Carlos Mendes Gomes	0	0	Permanent transfer to Bolton Wanderers
Admiral Muskwe	0	0	Season-long loan to Exeter City
Chiedozie Ogbene	0	0	Hamstring injury - Expected back 27 Apr
Gabriel Osho	0	0	Knee injury - Unknown return date
Aribim Pepple	0	0	Season long loan to Bromley
Dion Pereira	0	0	Season-long loan to Sutton United
Dan Potts	0	0	Hamstring injury - Unknown return date
Glen Rea	0	0	Released from contract
Joe Taylor	0	0	Season long loan to Colchester United
Elliot Thorpe	0	0	Joined Shrewsbury Town on a season-long loan
Jack Walton	0	0	Joined Dundee United on a season-long loan - Expected back 01 Jul
Louie Watson	0	0	Season-long loan to Charlton
Teden Mengi	50	50	Knock - 50% chance of playing
Ryan Giles	0	0	Joined Hull City on loan until the end of the season
Tom Lockyer	0	0	Illness - Unknown return date
Jacob Brown	0	0	Knee injury - Unknown return date
Aidan Francis-Clarke	0	0	Season long loan to Dagenham and Redbridge
Jayden Luker	0	0	On loan to Woking until the end of the season
João Cancelo	0	0	Season-long loan to Barcelona
Shea Charles	0	0	Permanent Transfer to Southampton
Aymeric Laporte	0	0	Transferred to Al Nassr
Riyad Mahrez	0	0	Permanent transfer to Al-Ahli
Máximo Perrone	0	0	Season-long loan to UD Las Palmas
Zack Steffen	0	0	Moved to Colorado Rapids on a permanent deal
Alex Telles	0	0	Permanent transfer to Al Nassr
Antony Matheus dos Santos	75	100	Knock - 75% chance of playing
Brandon Williams	0	0	Season-long loan to Ipswich Town
Eric Bailly	0	0	Permanent transfer to Süper Lig club Beşiktaş
Álvaro Fernández Carreras	0	0	Season-long loan to Granada CF
Frederico Rodrigues de Paula Santos	0	0	Permanent transfer to Fenerbahce
Hannibal Mejbri	0	0	On loan to Sevilla until the end of the season
Victor Lindelöf	0	0	Hamstring injury - Expected back 04 May
Tyrell Malacia	0	0	Knee injury - Unknown return date
Anthony Martial	0	0	Groin Injury - Unknown return date
Lisandro Martínez	0	0	Calf injury - Expected back 04 May
Scott McTominay	25	25	Knock - 25% chance of playing
Facundo Pellistri Rebollo	0	0	On loan to Granada until the end of the season
Raphaël Varane	0	0	Foot injury - Expected back 19 May
Jadon Sancho	0	0	On loan to Borussia Dortmund until the end of the season
Luke Shaw	0	0	Muscle injury - Expected back 19 May
Donny van de Beek	0	0	On loan to Eintracht Frankfurt until the end of the season
Radek Vítek	0	0	Joined Accrington Stanley on loan for the rest of the season
Daniel Gore	0	0	Joined Port Vale on loan until the end of the season
Jonny Evans	0	0	Muscle injury - Expected back 24 Apr
Joe Hugill	0	0	On loan to Burton Albion for the rest of the season
Rhys Bennett	0	0	On loan to Stockport County
Miguel Almirón Rejala	0	0	Knee injury - Expected back 04 May
Harrison Ashby	0	0	Season long loan to Swansea
Sven Botman	0	0	Knee injury - Expected back 21 Dec
Karl Darlow	0	0	Permanent move to Leeds Utd
Ryan Fraser	0	0	Season-long loan to Southampton
Isaac Hayden	0	0	Joined Standard Liège on a season-long loan deal
Jeff Hendrick	0	0	Season-long loan to Sheffield Wednesday
Joelinton Cássio Apolinário de Lira	0	0	Thigh injury - Expected back 19 May
Garang Kuol	0	0	On loan to FC Volendam
Jamaal Lascelles	0	0	Knee injury - Expected back 31 Dec
Jamal Lewis	0	0	Joined Watford on a season long loan
Javier Manquillo Gaitán	0	0	Permanent move to Celta Vigo
Nick Pope	0	0	Shoulder injury - Expected back 27 Apr
Allan Saint-Maximin	0	0	Permanent move to Al Ahli
Matt Targett	0	0	Achilles injury - Unknown return date
Sandro Tonali	0	0	Suspended until 27 Aug
Kieran Trippier	0	0	Calf injury - Expected back 24 Apr
Kell Watts	0	0	Season long loan to Wigan Athletic
Joe Willock	25	25	Achilles injury - 25% chance of playing
Callum Wilson	0	0	Tendon Injury - Expected back 11 May
Lewis Miley	0	0	Back injury - Unknown return date
Michael Ndiweni	0	0	Season-long loan to Annan Athletic
Brandon Aguilera Zamora	0	0	Season long loan to Bristol Rovers
Serge Aurier	0	0	Transferred to Galatasaray
Taiwo Awoniyi	0	0	Muscle injury - Unknown return date
Giulian Biancone	0	0	Permanent transfer to Olympiacos
Willy Boly	0	0	Muscle injury - Unknown return date
Josh Bowler	0	0	Season long loan to Cardiff City
Steve Cook	0	0	Permanent transfer to QPR
Emmanuel Dennis	0	0	On loan to Istanbul Basaksehir
Mohamed Dräger	0	0	Transferred to Basel
Remo Freuler	0	0	Season-long loan to Bologna
Ethan Horvath	0	0	Transferred to  Cardiff City
Richie Laryea	0	0	Loan to the end of the year with a permanent transfer in view
Orel Mangala	0	0	Season-long loan to Olympique Lyonnais
Loïc Mbe Soh	0	0	Season long to Almere City
Scott McKenna	0	0	On loan to Copenhagen on loan for the remainder of the season
Alex Mighten	0	0	Season-long loan to KV Kortrijk
Lewis O'Brien	0	0	Season-long loan to Middlesbrough
Braian Ojeda Rodríguez	0	0	Permanent transfer to Real Salt Lake
Jonathan Panzo	0	0	Season-long loan to Cardiff City
Omar Richards	0	0	Season-long loan to Olympiakos
Gustavo Henrique Furtado Scarpa	0	0	Season long loan to Olympiacos
Jonjo Shelvey	0	0	Season long loan to Çaykur Rizespor
Sam Surridge	0	0	Joined Nashville SC on a permanent transfer
Hwang Ui-jo	0	0	Season-long loan to Norwich City
Joe Worrall	0	0	On loan to Beşiktaş until the end of the season
George Shelvey	0	0	Permanent transfer to Dundalk
George Baldock	0	0	Calf injury - Expected back 11 May
Chris Basham	0	0	Leg injury - Unknown return date
Jayden Bogle	75	100	Knock - 75% chance of playing
Rhian Brewster	0	0	Hamstring injury - Expected back 01 Jun
Ismaila Coulibaly	0	0	Season-long loan to AIK
John Egan	0	0	Leg injury - Expected back 11 May
John Fleck	0	0	Transferred to Blackburn Rovers
Daniel Jebbison	0	0	Illness - Unknown return date
Max Lowe	0	0	Ankle injury - Expected back 01 Jun
Iliman Ndiaye	0	0	Permanent transfer to Marseille
Rhys Norrington-Davies	0	0	Hamstring injury - Expected back 01 Jun
Jack Robinson	75	75	Ankle injury - 75% chance of playing
Bénie Traoré	0	0	On loan to Nantes until the end of the season
Femi Seriki	0	0	Season-long loan to Rotherham United
Louie Marsh	0	0	Season-long loan to Doncaster Rovers
Antwoine Hackford	0	0	On loan to Burton Albion until the end of the season
Tom Davies	0	0	Hamstring injury - Expected back 27 Apr
Luke Thomas	0	0	Loan terminated and has returned to  Leicester City
Jili Buyabu	0	0	Season-long loan to Motherwell
Eric Dier	0	0	On loan to Bayern Munich until the end of the season
Fraser Forster	0	0	Foot injury - Expected back 01 Jun
Harry Kane	0	0	Transferred to Bayern Munich
Hugo Lloris	0	0	Permanent move to Los Angeles FC
Tanguy Ndombélé Alvaro	0	0	On loan to Galatasaray with an option to buy for €15m
Pedro Porro	75	100	Knock - 75% chance of playing
Ivan Perišić	0	0	Joined Hajduk Split on a season-long loan
Richarlison de Andrade	0	0	Knee injury - Expected back 28 Apr
Joe Rodon	0	0	Season long loan to Leeds United
Davinson Sánchez	0	0	Permanent transfer to Galatasaray
Ryan Sessegnon	0	0	Hamstring injury - Expected back 01 Jun
Djed Spence	0	0	Season-long loan to Leeds United
Japhet Tanganga	0	0	Season-long loan to Augsburg
Manor Solomon	0	0	Knee injury - Expected back 01 Jun
Alejo Véliz	0	0	Season-long loan to Sevilla
Ashley Phillips	0	0	On loan to Plymouth until the end of the season
Kalvin Phillips	50	50	Hamstring injury - 50% chance of playing
Alphonse Areola	50	50	Groin Injury - 50% chance of playing
Saïd Benrahma	0	0	Season-long loan to Lyon
Jarrod Bowen	25	25	Hip injury - 25% chance of playing
Conor Coventry	0	0	Permanent transfer to Charlton Athletic
Flynn Downes	0	0	Season-long loan to Southampton
Pablo Fornals Malla	0	0	Transferred to Real Betis
Thilo Kehrer	0	0	On loan to Monaco until the end of the season
Gianluca Scamacca	0	0	Permanent transfer to Atalanta BC
Nikola Vlašić	0	0	Permanent transfer to Torino
Konstantinos Mavropanos	75	75	Muscle injury - 75% chance of playing
Callum Marshall	0	0	On loan to West Bromwich Albion until the end of the season
Rayan Aït-Nouri	75	75	Calf injury - 75% chance of playing
Bendegúz Bolla	0	0	Season-long loan to Servette
Francisco Jorge Tomás Oliveira	0	0	Season long loan to Stoke City
Luke Cundle	0	0	Season long loan to Plymouth Argyle
Fábio Silva	0	0	On loan to Rangers until the end of the season
Gonçalo Manuel Ganchinho Guedes	0	0	Season-long loan to Benfica
Joe Hodge	0	0	Season-long loan to QPR
Ki-Jana Hoever	0	0	Season long loan to Stoke City
Jonathan Castro Otto	0	0	Contract cancelled by mutual consent
Sasa Kalajdzic	0	0	On loan to Eintracht Frankfurt until the end of the season
Pedro Lomba Neto	0	0	Hamstring injury - Expected back 11 May
Daniel Castelo Podence	0	0	On loan to Olympiakos
Matija Šarkić	0	0	Permanent transfer to Millwall
Jean-Ricner Bellegarde	25	25	Knee injury - 25% chance of playing
Owen Hesketh	0	0	On loan to Kidderminster Harriers until the end of the season
Yerson Mosquera	0	0	On loan to Villarreal until the end of the season
