name	chance_of_playing_next_round	chance_of_playing_this_round	news
Aleksandar Mitrović	0	0.0	Permanent transfer to Al-Hilal
João Palhinha Gonçalves	0	100.0	Suspended until 09 Mar
Carlos Vinícius Alves Morais	0	0.0	Season-long loan to Galatasaray
Raúl Jiménez	0	0.0	Hamstring injury - Expected back 30 Mar
Willian Borges da Silva	75	100.0	Muscle injury - 75% chance of playing
Jay Stansfield	0	0.0	Season-long loan to Birmingham City
Luke Harris	0	0.0	Moved to Exeter City on loan until the end of the season
Trent Alexander-Arnold	0	0.0	Knee injury - Expected back 31 Mar
Alisson Ramses Becker	0	50.0	Hamstring injury - Expected back 31 Mar
Stefan Bajcetic	0	0.0	Calf injury - Unknown return date
Diogo Teixeira da Silva	0	100.0	Knee injury - Unknown return date
Fabio Henrique Tavares	0	0.0	Permanent Transfer to Al-Ittihad
Jordan Henderson	0	0.0	Permanent transfer to Al-Ettifaq
Curtis Jones	0	100.0	Shin injury - Expected back 17 Mar
Joel Matip	0	0.0	Knee injury - Expected back 19 May
Nathaniel Phillips	0	0.0	Loaned to Celtic - expected back January
Dominik Szoboszlai	75	0.0	Muscle injury - 75% chance of playing
Thiago Alcántara do Nascimento	0	0.0	Muscle injury - Unknown return date
Sepp van den Berg	0	0.0	Season long loan to Mainz 05
Ben Doak	0	0.0	Knee injury - Unknown return date
Luke Chambers	0	0.0	Has Joined Wigan Athletic on loan until the end of the season
Marcelo de Araújo Pitaluga Filho	0	0.0	On loan to St Patrick’s Athletic until the end of the season
Owen Beck	0	0.0	On loan to Dundee until the end of the season
Albert Sambi Lokonga	75	100.0	Hamstring injury - 75% chance of playing
Marvelous Nakamba	0	0.0	Knee injury - Unknown return date
Elijah Adebayo	75		Hamstring injury - 75% chance of playing
Mads Juel Andersen	0	0.0	Calf injury - Unknown return date
Allan Campbell	0	0.0	Season-long loan to Millwall
Luke Freeman	0	0.0	Released
Matt Macey	0	0.0	Released from contract
John McAtee	0	0.0	Season-long loan to Barnsley
Carlos Mendes Gomes	0	0.0	Permanent transfer to Bolton Wanderers
Admiral Muskwe	0	0.0	Season-long loan to Exeter City
Fred Onyedinma	0	0.0	Season long loan to Rotherham
Aribim Pepple	0	0.0	Season long loan to Bromley
Dion Pereira	0	0.0	Season-long loan to Sutton United
Glen Rea	0	0.0	Released from contract
Joe Taylor	0	0.0	Season long loan to Colchester United
Elliot Thorpe	0	0.0	Joined Shrewsbury Town on a season-long loan
Jack Walton	0	0.0	Joined Dundee United on a season-long loan - Expected back 01 Jul
Louie Watson	0	0.0	Season-long loan to Charlton
Ryan Giles	0	0.0	Joined Hull City on loan until the end of the season
Tom Lockyer	0	0.0	Illness - Unknown return date
Jacob Brown	0	100.0	Knee injury - Unknown return date
Aidan Francis-Clarke	0	0.0	Season long loan to Dagenham and Redbridge
Jayden Luker	0	0.0	On loan to Woking until the end of the season
João Cancelo	0	0.0	Season-long loan to Barcelona
Shea Charles	0	0.0	Permanent Transfer to Southampton
Jack Grealish	25	25.0	Muscle injury - 25% chance of playing
Aymeric Laporte	0	0.0	Transferred to Al Nassr
Riyad Mahrez	0	0.0	Permanent transfer to Al-Ahli
Máximo Perrone	0	0.0	Season-long loan to UD Las Palmas
Zack Steffen	0	0.0	Moved to Colorado Rapids on a permanent deal
Joško Gvardiol	0	0.0	Ankle injury - Expected back 03 Mar
Mason Mount	0	0.0	Calf injury - Unknown return date
Alex Telles	0	0.0	Permanent transfer to Al Nassr
Brandon Williams	0	0.0	Season-long loan to Ipswich Town
Eric Bailly	0	0.0	Permanent transfer to Süper Lig club Beşiktaş
Álvaro Fernández Carreras	0	0.0	Season-long loan to Granada CF
Frederico Rodrigues de Paula Santos	0	0.0	Permanent transfer to Fenerbahce
Hannibal Mejbri	0	0.0	On loan to Sevilla until the end of the season
Tyrell Malacia	0	0.0	Knee injury - Unknown return date
Anthony Martial	0	0.0	Groin Injury - Expected back 06 Apr
Lisandro Martínez	0	0.0	Knee injury - Expected back 30 Mar
Facundo Pellistri Rebollo	0	0.0	On loan to Granada until the end of the season
Jadon Sancho	0	0.0	On loan to Borussia Dortmund until the end of the season
Luke Shaw	0	75.0	Muscle injury - Expected back 19 May
Donny van de Beek	0	0.0	On loan to Eintracht Frankfurt until the end of the season
Aaron Wan-Bissaka	0	0.0	Leg injury - Unknown return date
Rasmus Højlund	0	100.0	Muscle injury - Expected back 16 Mar
Radek Vítek	0	0.0	Joined Accrington Stanley on loan for the rest of the season
Daniel Gore	0	0.0	Joined Port Vale on loan until the end of the season
Joe Hugill	0	0.0	On loan to Burton Albion for the rest of the season
Rhys Bennett	0		On loan to Stockport County
Elliot Anderson	0	0.0	Back injury - Expected back 02 Mar
Harrison Ashby	0	0.0	Season long loan to Swansea
Karl Darlow	0	0.0	Permanent move to Leeds Utd
Ryan Fraser	0	0.0	Season-long loan to Southampton
Isaac Hayden	0	0.0	Joined Standard Liège on a season-long loan deal
Jeff Hendrick	0	0.0	Season-long loan to Sheffield Wednesday
Alexander Isak	75	50.0	Lack of match fitness - 75% chance of playing
Joelinton Cássio Apolinário de Lira	0	0.0	Thigh injury - Expected back 04 May
Garang Kuol	0	0.0	On loan to FC Volendam
Jamal Lewis	0	0.0	Joined Watford on a season long loan
Javier Manquillo Gaitán	0	0.0	Permanent move to Celta Vigo
Nick Pope	0	0.0	Shoulder injury - Expected back 03 Apr
Allan Saint-Maximin	0	0.0	Permanent move to Al Ahli
Matt Targett	0	0.0	Hamstring injury - Expected back 02 Mar
Sandro Tonali	0	0.0	Suspended until 27 Aug
Kell Watts	0	0.0	Season long loan to Wigan Athletic
Joe Willock	75	50.0	Lack of match fitness - 75% chance of playing
Callum Wilson	0	0.0	Tendon Injury - Expected back 11 May
Michael Ndiweni	0	0.0	Season-long loan to Annan Athletic
Brandon Aguilera Zamora	0	0.0	Season long loan to Bristol Rovers
Serge Aurier	0	0.0	Transferred to Galatasaray
Giulian Biancone	0	0.0	Permanent transfer to Olympiacos
Josh Bowler	0	0.0	Season long loan to Cardiff City
Steve Cook	0	0.0	Permanent transfer to QPR
Emmanuel Dennis	0	0.0	On loan to Istanbul Basaksehir
Mohamed Dräger	0	0.0	Transferred to Basel
Remo Freuler	0	0.0	Season-long loan to Bologna
Ethan Horvath	0	0.0	Transferred to  Cardiff City
Richie Laryea	0	0.0	Loan to the end of the year with a permanent transfer in view
Orel Mangala	0	0.0	Season-long loan to Olympique Lyonnais
Loïc Mbe Soh	0	0.0	Season long to Almere City
Scott McKenna	0	0.0	On loan to Copenhagen on loan for the remainder of the season
Alex Mighten	0	0.0	Season-long loan to KV Kortrijk
Lewis O'Brien	0	0.0	Season-long loan to Middlesbrough
Braian Ojeda Rodríguez	0	0.0	Permanent transfer to Real Salt Lake
Jonathan Panzo	0	0.0	Season-long loan to Cardiff City
Omar Richards	0	0.0	Season-long loan to Olympiakos
Gustavo Henrique Furtado Scarpa	0	0.0	Season long loan to Olympiacos
Jonjo Shelvey	0	0.0	Season long loan to Çaykur Rizespor
Sam Surridge	0	0.0	Joined Nashville SC on a permanent transfer
Hwang Ui-jo	0	0.0	Season-long loan to Norwich City
Chris Wood	0	0.0	Hamstring injury - Unknown return date
Joe Worrall	0	0.0	On loan to Beşiktaş until the end of the season
George Shelvey	0		Permanent transfer to Dundalk
Gonzalo Montiel	0	0.0	Hamstring injury - Unknown return date
Cameron Archer	75		Calf injury - 75% chance of playing
Mason Holgate	0	100.0	Suspended until 16 Mar
George Baldock	50	50.0	Muscle injury - 50% chance of playing
Chris Basham	0	0.0	Leg injury - Unknown return date
Ismaila Coulibaly	0	0.0	Season-long loan to AIK
John Egan	0	0.0	Leg injury - Expected back 11 May
John Fleck	0	0.0	Transferred to Blackburn Rovers
Daniel Jebbison	0	0.0	Illness - Unknown return date
Max Lowe	0	100.0	Ankle injury - Unknown return date
Iliman Ndiaye	0	0.0	Permanent transfer to Marseille
Rhys Norrington-Davies	0	0.0	Hamstring injury - Unknown return date
Bénie Traoré	0	0.0	On loan to Nantes until the end of the season
Femi Seriki	0	0.0	Season-long loan to Rotherham United
Louie Marsh	0	0.0	Season-long loan to Doncaster Rovers
Antwoine Hackford	0	0.0	On loan to Burton Albion until the end of the season
Luke Thomas	0	0.0	Loan terminated and has returned to  Leicester City
Jili Buyabu	0	0.0	Season-long loan to Motherwell
Ben Brereton	75	75.0	Hamstring injury - 75% chance of playing
Eric Dier	0	0.0	On loan to Bayern Munich until the end of the season
Fraser Forster	0	0.0	Foot injury - Expected back 13 Apr
Harry Kane	0	0.0	Transferred to Bayern Munich
Hugo Lloris	0	0.0	Permanent move to Los Angeles FC
Tanguy Ndombélé Alvaro	0	0.0	On loan to Galatasaray with an option to buy for €15m
Pedro Porro	0	0.0	Muscle injury - Expected back 02 Mar
Ivan Perišić	0	0.0	Joined Hajduk Split on a season-long loan
Joe Rodon	0	0.0	Season long loan to Leeds United
Davinson Sánchez	0	0.0	Permanent transfer to Galatasaray
Ryan Sessegnon	0	0.0	Hamstring injury - Unknown return date
Djed Spence	0	0.0	Season-long loan to Leeds United
Japhet Tanganga	0	0.0	Season-long loan to Augsburg
Destiny Udogie	0	0.0	Knee injury - Expected back 02 Mar
Manor Solomon	0	0.0	Knee injury - Expected back 02 Mar
Alejo Véliz	0	0.0	Season-long loan to Sevilla
Ashley Phillips	0	0.0	On loan to Plymouth until the end of the season
Kalvin Phillips	0		Suspended until 02 Mar
Saïd Benrahma	0	0.0	Season-long loan to Lyon
Conor Coventry	0	0.0	Permanent transfer to Charlton Athletic
Flynn Downes	0	0.0	Season-long loan to Southampton
Pablo Fornals Malla	0	0.0	Transferred to Real Betis
Thilo Kehrer	0	0.0	On loan to Monaco until the end of the season
Lucas Tolentino Coelho de Lima	50	0.0	Calf injury - 50% chance of playing
Gianluca Scamacca	0	0.0	Permanent transfer to Atalanta BC
Nikola Vlašić	0	0.0	Permanent transfer to Torino
Callum Marshall	0	0.0	On loan to West Bromwich Albion until the end of the season
Bendegúz Bolla	0	0.0	Season-long loan to Servette
Francisco Jorge Tomás Oliveira	0	0.0	Season long loan to Stoke City
Luke Cundle	0	0.0	Season long loan to Plymouth Argyle
Fábio Silva	0	0.0	On loan to Rangers until the end of the season
Gonçalo Manuel Ganchinho Guedes	0	0.0	Season-long loan to Benfica
Joe Hodge	0	0.0	Season-long loan to QPR
Ki-Jana Hoever	0	0.0	Season long loan to Stoke City
Jonathan Castro Otto	0	0.0	Contract cancelled by mutual consent
Sasa Kalajdzic	0	0.0	On loan to Eintracht Frankfurt until the end of the season
Daniel Castelo Podence	0	0.0	On loan to Olympiakos
Matija Šarkić	0	0.0	Permanent transfer to Millwall
Matheus Santos Carneiro Da Cunha	0	0.0	Hamstring injury - Expected back 30 Mar
Owen Hesketh	0	0.0	On loan to Kidderminster Harriers until the end of the season
Yerson Mosquera	0	0.0	On loan to Villarreal until the end of the season
